Starting XDForWeb...
Listening: 127.0.0.1:8008
DocRoot: C:\Users\navar\AppData\Roaming\xdforcode\assets\
mg_start SUCCEEDED!
CIVETW_ISWEBSOCKET: conn=0058EC70 is_ws=0
CIVETW_ISWEBSOCKET: conn=0058EC70 is_ws=0
CIVETW_ISWEBSOCKET: conn=0058EC70 is_ws=0
CIVETW_ISWEBSOCKET: conn=0058F2C8 is_ws=0
CIVETW_ISWEBSOCKET: conn=0058F2C8 is_ws=0
CIVETW_ISWEBSOCKET: conn=0058F2C8 is_ws=0
CIVETW_ISWEBSOCKET: conn=0058EC70 is_ws=0
CIVETW_ISWEBSOCKET: conn=0058EC70 is_ws=0
CIVETW_ISWEBSOCKET: conn=0058EC70 is_ws=0
CIVETW_ISWEBSOCKET: conn=0058F2C8 is_ws=0
CIVETW_ISWEBSOCKET: conn=0058F2C8 is_ws=0
CIVETW_ISWEBSOCKET: conn=0058F2C8 is_ws=0
CIVETW_ISWEBSOCKET: conn=0058F920 is_ws=0
CIVETW_ISWEBSOCKET: conn=0058F920 is_ws=0
CIVETW_ISWEBSOCKET: conn=0058F920 is_ws=0
CIVETW_ISWEBSOCKET: conn=0058EC70 is_ws=0
CIVETW_ISWEBSOCKET: conn=0058EC70 is_ws=0
CIVETW_ISWEBSOCKET: conn=0058EC70 is_ws=0
CIVETW_ISWEBSOCKET: conn=0058F2C8 is_ws=0
CIVETW_ISWEBSOCKET: conn=0058F2C8 is_ws=0
CIVETW_ISWEBSOCKET: conn=0058F2C8 is_ws=0
CIVETW_ISWEBSOCKET: conn=0058F920 is_ws=0
CIVETW_ISWEBSOCKET: conn=0058F920 is_ws=0
CIVETW_ISWEBSOCKET: conn=0058F920 is_ws=0
CIVETW_ISWEBSOCKET: conn=0058EC70 is_ws=0
CIVETW_ISWEBSOCKET: conn=0058EC70 is_ws=0
CIVETW_ISWEBSOCKET: conn=0058EC70 is_ws=0
CIVETW_ISWEBSOCKET: conn=0058F2C8 is_ws=0
CIVETW_ISWEBSOCKET: conn=0058F2C8 is_ws=0
CIVETW_ISWEBSOCKET: conn=0058F2C8 is_ws=0
CIVETW_ISWEBSOCKET: conn=0058F920 is_ws=0
CIVETW_ISWEBSOCKET: conn=0058F920 is_ws=0
CIVETW_ISWEBSOCKET: conn=0058F920 is_ws=0
CIVETW_ISWEBSOCKET: conn=0058EC70 is_ws=0
CIVETW_ISWEBSOCKET: conn=0058EC70 is_ws=0
CIVETW_ISWEBSOCKET: conn=0058EC70 is_ws=0
CIVETW_ISWEBSOCKET: conn=0058F2C8 is_ws=0
CIVETW_ISWEBSOCKET: conn=0058F2C8 is_ws=0
CIVETW_ISWEBSOCKET: conn=0058F2C8 is_ws=0
CIVETW_ISWEBSOCKET: conn=0058F920 is_ws=0
CIVETW_ISWEBSOCKET: conn=0058F920 is_ws=0
CIVETW_ISWEBSOCKET: conn=0058F920 is_ws=0
CIVETW_ISWEBSOCKET: conn=0058EC70 is_ws=0
CIVETW_ISWEBSOCKET: conn=0058EC70 is_ws=0
CIVETW_ISWEBSOCKET: conn=0058EC70 is_ws=0
CIVETW_ISWEBSOCKET: conn=0058F2C8 is_ws=0
CIVETW_ISWEBSOCKET: conn=0058F2C8 is_ws=0
CIVETW_ISWEBSOCKET: conn=0058F2C8 is_ws=0
CIVETW_ISWEBSOCKET: conn=0058F920 is_ws=0
CIVETW_ISWEBSOCKET: conn=0058F920 is_ws=0
